064760,20260428,316000,4.8646,0
071970,20260428,106100,4.8601,0
023530,20260428,132600,4.8425,0
018880,20260428,4400,4.8358,0
000500,20260428,217000,4.8289,0
237690,20260428,168700,4.8264,0
175330,20260428,27300,4.8087,0
088980,20260428,11420,4.799,0
251270,20260428,50600,4.7575,0
214150,20260428,57500,4.7464,0
214450,20260428,325000,4.7433,0
012510,20260428,120000,4.7057,0
020150,20260428,67400,4.6892,0
097950,20260428,233000,4.6851,0
336260,20260428,52600,4.6594,0
319400,20260428,31350,4.6541,0
011780,20260428,137700,4.6537,0
439260,20260428,91900,4.6468,0
084370,20260428,142000,4.6452,0
014680,20260428,295500,4.6331,0
347850,20260428,78700,4.6298,0
111770,20260428,84100,4.6169,0
100790,20260428,60300,4.606,0
088350,20260428,4975,4.6033,0
222800,20260428,86500,4.595,0
058610,20260428,135100,4.5892,0
120110,20260428,100000,4.5861,0
036460,20260428,39050,4.564,0
178320,20260428,51300,4.5508,0
145020,20260428,265500,4.5336,0
031980,20260428,132800,4.4761,0
035250,20260428,17320,4.4443,0
483650,20260428,235500,4.4394,0
112610,20260428,72700,4.4376,0
005290,20260428,58800,4.4363,0
083650,20260428,97400,4.4197,0
005850,20260428,66000,4.3801,0
043260,20260428,41500,4.3764,0
001720,20260428,202000,4.3745,0
139480,20260428,106800,4.3307,0
302440,20260428,43400,4.2975,0
0009K0,20260428,48850,4.284,0
012750,20260428,85700,4.2836,0
031210,20260428,48750,4.28,0
103140,20260428,101800,4.2629,0
140410,20260428,92800,4.2146,0
051600,20260428,63900,4.1627,0
139130,20260428,19280,4.139,0
009970,20260428,206000,4.1139,0
004990,20260428,29200,3.9597,0
028670,20260428,5580,3.9489,0
00680K,20260428,20400,3.9447,0
000660,20260428,1300000,7.552,0
005930,20260428,222000,7.3569,0
005380,20260428,555000,7.3059,0
012450,20260428,1395000,7.2044,0
402340,20260428,811000,7.198,0
006400,20260428,680000,7.1659,0
009150,20260428,839000,7.1602,0
298040,20260428,3976000,7.1228,0
005935,20260428,160000,7.0884,0
267260,20260428,1238000,7.0775,0
329180,20260428,667000,7.0735,0
373220,20260428,472000,7.0411,0
005490,20260428,466500,6.9792,0
207940,20260428,1504000,6.9775,0
034020,20260428,127800,6.9426,0
010120,20260428,261500,6.9273,0
042700,20260428,367000,6.8977,0
000270,20260428,155600,6.8453,0
105560,20260428,158800,6.8033,0
012330,20260428,447000,6.7991,0
028260,20260428,309500,6.7868,0
000150,20260428,1583000,6.7747,0
010130,20260428,1627000,6.7531,0
032830,20260428,252000,6.7246,0
042660,20260428,133900,6.7072,0
068270,20260428,207000,6.6929,0
035420,20260428,219500,6.6487,0
009540,20260428,468500,6.6448,0
055550,20260428,99900,6.6338,0
051910,20260428,394000,6.6211,0
079550,20260428,933000,6.6121,0
064350,20260428,244500,6.595,0
006800,20260428,68500,6.589,0
066570,20260428,140000,6.5885,0
034730,20260428,414000,6.5718,0
086790,20260428,127000,6.5667,0
003670,20260428,263000,6.5504,0
086520,20260428,161500,6.5052,0
000810,20260428,483000,6.4904,0
272210,20260428,119900,6.42,0
047040,20260428,37150,6.409,0
196170,20260428,376500,6.4057,0
000720,20260428,167100,6.4035,0
010140,20260428,33350,6.3779,0
247540,20260428,213500,6.3765,0
011070,20260428,577000,6.3754,0
096770,20260428,133000,6.369,0
267250,20260428,280500,6.3542,0
015760,20260428,44700,6.3388,0
278470,20260428,459000,6.3226,0
307950,20260428,478000,6.2854,0
086280,20260428,234500,6.2504,0
277810,20260428,668000,6.2353,0
316140,20260428,33500,6.2135,0
047810,20260428,168000,6.2104,0
017670,20260428,96800,6.1999,0
006260,20260428,402500,6.1937,0
033780,20260428,178000,6.1874,0
035720,20260428,48850,6.1581,0
071050,20260428,258500,6.1354,0
003230,20260428,1285000,6.1101,0
0126Z0,20260428,568000,6.107,0
443060,20260428,276000,6.0707,0
259960,20260428,283500,6.066,0
039490,20260428,445500,6.0613,0
047050,20260428,85000,6.058,0
138040,20260428,115300,6.0475,0
018260,20260428,172500,6.0383,0
000250,20260428,432000,6.0229,0
007660,20260428,150600,6.0143,0
267270,20260428,194000,5.9978,0
028050,20260428,56300,5.9775,0
010950,20260428,118700,5.9765,0
001440,20260428,45900,5.9533,0
003550,20260428,98200,5.9349,0
352820,20260428,248500,5.9341,0
009830,20260428,49400,5.9157,0
298380,20260428,139400,5.9077,0
005387,20260428,260000,5.9047,0
030200,20260428,60900,5.8921,0
024110,20260428,22500,5.8509,0
011200,20260428,20750,5.8275,0
066970,20260428,205000,5.8185,0
005830,20260428,173500,5.8131,0
058470,20260428,111400,5.8047,0
010060,20260428,367500,5.7886,0
090430,20260428,146200,5.7808,0
016360,20260428,111200,5.7442,0
950160,20260428,106700,5.7391,0
141080,20260428,203500,5.7223,0
062040,20260428,222000,5.6899,0
005940,20260428,35050,5.6842,0
000880,20260428,129100,5.6668,0
082740,20260428,81100,5.5876,0
039030,20260428,513000,5.5773,0
052690,20260428,191900,5.5714,0
323410,20260428,24950,5.5622,0
000990,20260428,154700,5.5605,0
028300,20260428,62900,5.5489,0
128940,20260428,491500,5.5274,0
036930,20260428,130500,5.5253,0
326030,20260428,102600,5.4962,0
003490,20260428,24350,5.4674,0
087010,20260428,270500,5.4571,0
241560,20260428,76500,5.4481,0
005385,20260428,261500,5.4473,0
000100,20260428,93700,5.4335,0
001040,20260428,222000,5.4282,0
450080,20260428,85600,5.419,0
180640,20260428,114700,5.4108,0
161390,20260428,62200,5.4044,0
108490,20260428,326500,5.4038,0
454910,20260428,100100,5.387,0
078930,20260428,76800,5.3848,0
064400,20260428,67500,5.3762,0
240810,20260428,121100,5.3447,0
036570,20260428,267500,5.3343,0
103590,20260428,111600,5.332,0
377300,20260428,55300,5.329,0
095340,20260428,237500,5.299,0
004020,20260428,44100,5.2744,0
353200,20260428,109300,5.2621,0
310210,20260428,299500,5.2334,0
034220,20260428,12750,5.2209,0
002380,20260428,553000,5.2009,0
011790,20260428,124400,5.1901,0
021240,20260428,85500,5.174,0
375500,20260428,99900,5.1704,0
403870,20260428,53700,5.1489,0
214370,20260428,107000,5.1463,0
032640,20260428,16470,5.1153,0
004800,20260428,227000,5.114,0
440110,20260428,81600,5.1101,0
022100,20260428,36600,5.1025,0
489790,20260428,86500,5.0918,0
004170,20260428,407500,5.0897,0
271560,20260428,141200,5.0793,0
029780,20260428,53600,5.0353,0
226950,20260428,185300,5.0137,0
357780,20260428,483500,4.9993,0
051900,20260428,255000,4.9598,0
006360,20260428,42450,4.9478,0
457190,20260428,123500,4.9431,0
263750,20260428,60600,4.9374,0
032820,20260428,22250,4.9296,0
011170,20260428,94500,4.9249,0
138930,20260428,18860,4.9206,0
017800,20260428,99400,4.8832,0
